Feature,Industry Code,Average SHAP Value
twoind_9.0,9.0,0.0002057653462736
twoind_1.0,1.0,0.0001392312179717
twoind_33.0,33.0,0.0001372327450184
twoind_11.0,11.0,0.0001162029620702
twoind_18.0,18.0,0.0001068998848234
twoind_16.0,16.0,7.797016156395617e-05
twoind_8.0,8.0,7.520162410306238e-05
twoind_28.0,28.0,6.831348206031996e-05
twoind_27.0,27.0,6.412223100114847e-05
twoind_20.0,20.0,5.9270733713242947e-05
twoind_21.0,21.0,4.823440101375462e-05
twoind_22.0,22.0,4.554167369695665e-05
twoind_14.0,14.0,3.8161285413682423e-05
twoind_10.0,10.0,3.511240149267598e-05
twoind_3.0,3.0,2.4600331716241496e-05
twoind_12.0,12.0,1.8239359400328477e-05
twoind_13.0,13.0,1.6011618359678765e-05
twoind_23.0,23.0,1.5019150322023936e-05
twoind_6.0,6.0,1.2742288498657368e-05
twoind_5.0,5.0,1.0205578684865688e-05
twoind_31.0,31.0,9.832268736034866e-06
twoind_30.0,30.0,8.267012285160298e-06
twoind_29.0,29.0,5.532814171856695e-06
twoind_19.0,19.0,4.908936237837947e-06
twoind_4.0,4.0,4.524255687816112e-06
twoind_7.0,7.0,4.012814086131302e-06
twoind_25.0,25.0,3.579659823150361e-06
twoind_24.0,24.0,2.3426010471616646e-06
twoind_2.0,2.0,1.905335367104434e-06
twoind_34.0,34.0,1.0251416072189764e-06
twoind_15.0,15.0,4.4309254606216185e-08
twoind_32.0,32.0,1.4374248349088382e-08
